Zipcode	Income
14481	57071
14482	55470
11756	99588
12950	38977
12754	36313
14485	44316
14753	32708
11729	80279
11757	82383
11096	48538
13797	45929
13365	43425
14755	46037
13090	70376
13088	53395
12758	50560
14487	67542
14083	
12759	37902
14094	49849
11560	99278
14860	53750
11561	91984
12847	58906
11729	80279
13659	46250
13367	47716
11563	90896
14098	54543
12955	60078
12952	40441
14489	42778
14489	42778
14502	65601
13101	57279
14101	51250
13402	43387
13660	43832
10541	106890
12953	50378
11565	117500
11565	117500
10543	87316
10918	87114
11030	172266
11030	172266
13104	92194
13661	49948
14083	
11949	104785
13803	51593
13108	81149
12455	47519
12815	52083
14505	60000
12542	62548
11758	104986
11758	104986
13662	41668
11950	68338
11950	68338
14083	
11952	86286
14039	44583
12543	61250
12117	55032
14757	44698
12118	61389
11763	88772
14103	43478
12121	70365
11747	112699
11427	70108
11428	69330
11429	68890
11566	126532
11729	80279
13114	50850
12122	50532
11953	69690
14105	56474
10941	66111
10940	61146
13406	53203
13807	47917
12545	61869
11764	113630
12546	61964
11765	165125
14864	53650
12547	64258
12547	64258
11501	79013
12956	50000
13116	62926
13407	45692
10950	74681
10952	53344
11954	68528
14083	
12549	81011
12701	27702
14865	38839
10548	93000
12958	34405
13118	57450
11955	63766
13808	49750
12962	68694
13808	49750
13808	49750
12018	80126
10549	81839
13808	49750
11766	104110
10552	64001
10553	58514
10550	39954
13409	56008
12018	80126
14083	
10954	91302
12458	52442
12836	54625
14512	50682
12764	52604
12123	65458
13665	33750
13120	50417
14083	
11767	109204
14513	45583
14513	45583
12022	68438
12550	56444
10956	119764
10956	119764
14108	57349
14867	49464
12838	69167
11550	53669
12538	70599
12561	66261
13416	55268
10804	157950
10805	55639
10801	54504
14083	
12553	71608
10282	230952
10007	216037
10069	170630
10162	168667
10280	129574
10282	230952
10007	216037
10069	170630
10162	168667
10280	129574
14304	47878
14305	34085
14303	27567
14301	21945
13812	50547
12130	87643
13667	39744
11701	69733
11708	
12837	42721
11703	90872
12020	68252
11706	75775
11710	103686
11713	75183
14034	58224
12853	41563
14850	46331
14853	
12027	95690
14843	40638
11757	82383
11563	90896
11758	104986
11566	126532
12538	70599
11772	68230
11768	120309
14516	54779
14516	54779
13215	77905
13214	62386
13219	59945
13224	54196
13212	51997
14120	52587
11581	98113
11580	88771
12134	48547
12134	48547
11793	113277
11963	85583
14850	46331
14853	
13815	39818
13668	43500
10960	78750
14517	39970
10960	78750
11509	109375
14039	44583
14125	49356
11572	96563
14869	52125
13669	41835
11804	115370
14083	
12136	88594
13420	60438
11568	192500
14760	41807
13421	47109
13421	47109
13820	42345
14519	63538
10962	109786
12815	52083
14127	77636
11957	82895
13424	59965
13424	59965
10562	74896
13126	48062
13825	52750
10963	74583
14521	44907
13827	56025
13830	53304
11771	106120
11771	106120
14870	59469
13428	46250
12463	44938
14522	50612
13606	63071
14767	42986
13131	50613
13672	35368
11772	68230
12970	53250
13357	44500
12564	76825
12448	61310
10965	94271
11958	83000
10566	58226
10803	140000
